,hotel_name,Class of Rating,Rating
791,East Village Amazing 2 Bedroom,Good,7.9
792,Broadway Plaza Hotel,Very Good,8.4
793,Renaissance New York Midtown Hotel,Awesome,9.0
794,Hilton Garden Inn New York/Tribeca,Very Good,8.2
795,Jun New York Mid Town III,Excellent,8.9
796,Superior Midtown East Apartments,Review score,5.9
797,Hampton Inn Manhattan-Times Square North,Very Good,8.2
798,Prime West Village Vacation Apartment,None,None
799,Three Bedroom Apartment - West 148th Street,Very Good,8.1
800,The Wagner Hotel,None,None
801,Hampton Inn Manhattan-35th Street/Empire State Building,Very Good,8.5
802,Sheraton Tribeca New York Hotel,Good,7.8
803,Holiday Inn Express Manhattan Midtown West,Good,7.8
804,Comfort Inn Midtown West,Good,7.7
805,Recently Renovated 3 Bedroom Apartment Manhattan #45,None,None
806,Jun New York Mid Town I,None,None
807,Soho Grand Hotel,Very Good,8.5
808,Yorkville Apartments -Upper East Side,Review score,6.4
809,Central Park Apartment,Excellent,8.9
810,"Hotel Shocard, New York",Very Good,8.3
811,Soho Grand Hotel,Very Good,8.5
812,Yorkville Apartments -Upper East Side,Review score,6.4
813,Central Park Apartment,Excellent,8.9
814,Zen Artist 2Bed/1Bath in Prime Upper East Side!,None,None
815,45th Street Condo #226384,None,None
816,NYC Apartment For Rent,None,None
817,Room Mate Grace Boutique Hotel,Excellent,8.7
818,Hyatt Herald Square New York,Very Good,8.3
819,Luxurious Three Bedroom Apartment,Review score,6.9
820,Midtown East Next to Times Square,None,None
821,Two Bedroom Chelsea/West Village Apartment,None,None
822,Hyatt Place New York/Midtown-South,Excellent,8.6
823,Charming Loft in Lower East Side,None,None
824,Best Location NYC in Union Square - Midtown East,Review score,6.8
825,Symphony House,None,None
826,Sago Hotel,Excellent,8.7
827,The Jewel Facing Rockefeller Center,Excellent,8.7
828,Kimpton Hotel Eventi,Excellent,8.8
829,Shared Two Bedroom Apartment - Harlemville,Good,7.0
830,The Quin,Excellent,8.8
831,Highline West Village,None,None
832,Midtown Lexington Studio Apartment,None,None
833,Cassa Suites,None,None
834,Apartment Best Location in New York,Good,7.5
835,New York Apartments,Review score,6.6
836,Places4stay Upper West Side Luxury,None,None
837,"The Renwick Hotel New York City, Curio Collection by Hilton",Excellent,8.6
838,Hampton Inn Times Square Central,Excellent,8.8
839,Domenico Vacca Luxury Residences,None,None
840,Hampton Inn Times Square Central,Excellent,8.8
841,Domenico Vacca Luxury Residences,None,None
842,Night Hotel Times Square,Good,7.6
843,Hyatt Centric Times Square New York,Excellent,8.8
844,Cambria Hotel & Suites New York - Chelsea,Excellent,8.8
845,Residence Inn by Marriott New York Manhattan/ Midtown Eastside,Excellent,8.9
846,Eclectic 2Bedroom Art Studio,None,None
847,Comfortable Two Bedroom Apartment in East Village,None,None
848,Manhattan Bowery Lodge,Review score,5.5
849,45th Street Condo #228762,None,None
850,45th Street Condo #226519,None,None
